date,state,fips,cases,deaths
3/11/2023,Idaho,16,521256,5430
3/11/2023,Illinois,17,4090437,41496
3/11/2023,Indiana,18,2051104,26115
3/11/2023,Iowa,19,903991,10727
3/11/2023,Kansas,20,938176,10208
3/11/2023,Kentucky,21,1718471,18241
3/11/2023,Louisiana,22,1573810,18766
3/11/2023,Maine,23,318130,2945
3/11/2023,Maryland,24,1365982,16617
3/11/2023,Massachusetts,25,2224337,24333
3/11/2023,Michigan,26,3054792,42150
3/11/2023,Minnesota,27,1778866,14870
3/11/2023,Mississippi,28,990756,13405
3/11/2023,Missouri,29,1788477,23924
3/11/2023,Montana,30,330157,3680
3/11/2023,Nebraska,31,568983,5065
3/11/2023,Nevada,32,890126,12067
3/11/2023,New Hampshire,33,378428,3006
3/11/2023,New Jersey,34,3049952,36058
3/11/2023,New Mexico,35,671132,9082
3/11/2023,New York,36,6791884,79962
3/11/2023,North Carolina,37,3472644,29677
3/11/2023,North Dakota,38,287594,2517
3/11/2023,Northern Mariana Islands,69,13395,41
3/11/2023,Ohio,39,3400652,41974
3/11/2023,Oklahoma,40,1290929,16485
3/11/2023,Oregon,41,963565,9378
3/11/2023,Pennsylvania,42,3527854,50482
3/11/2023,Puerto Rico,72,1135508,5825
3/11/2023,Rhode Island,44,460697,3902
3/11/2023,South Carolina,45,1836568,20128
3/11/2023,South Dakota,46,279130,3210
3/11/2023,Tennessee,47,2451936,28971
3/11/2023,Texas,48,8350220,94374
3/11/2023,Utah,49,1090669,5298
3/11/2023,Vermont,50,152618,929
3/11/2023,Virgin Islands,78,24813,130
3/11/2023,Virginia,51,2291951,23767
3/11/2023,Washington,53,1928913,15749
3/11/2023,West Virginia,54,643270,8104
3/11/2023,Wisconsin,55,2007241,16440
3/11/2023,Wyoming,56,185385,2005
3/12/2023,Alabama,1,1644533,21570
3/12/2023,Alaska,2,307958,1438
3/12/2023,American Samoa,60,8320,34
3/12/2023,Arizona,4,2444144,33104
3/12/2023,Arkansas,5,1007381,13038
3/12/2023,California,6,12133065,103999
3/12/2023,Colorado,8,1766384,14184
3/12/2023,Connecticut,9,977109,12219
3/12/2023,Delaware,10,332158,3330
3/12/2023,District of Columbia,11,177945,1432
3/12/2023,Florida,12,7531055,86850
3/12/2023,Georgia,13,2979279,40978
3/12/2023,Guam,66,61951,421
3/12/2023,Hawaii,15,371456,1838
3/12/2023,Idaho,16,521256,5430
3/12/2023,Illinois,17,4090437,41496
3/12/2023,Indiana,18,2051104,26115
3/12/2023,Iowa,19,903991,10727
3/12/2023,Kansas,20,938176,10208
3/12/2023,Kentucky,21,1718471,18241
3/12/2023,Louisiana,22,1573810,18766
3/12/2023,Maine,23,318130,2945
3/12/2023,Maryland,24,1365982,16617
3/12/2023,Massachusetts,25,2224337,24333
3/12/2023,Michigan,26,3054792,42150
3/12/2023,Minnesota,27,1778866,14870
3/12/2023,Mississippi,28,990756,13405
3/12/2023,Missouri,29,1788477,23924
3/12/2023,Montana,30,330157,3680
3/12/2023,Nebraska,31,568983,5065
3/12/2023,Nevada,32,890126,12067
3/12/2023,New Hampshire,33,378428,3006
3/12/2023,New Jersey,34,3049952,36058
3/12/2023,New Mexico,35,671132,9082
3/12/2023,New York,36,6792530,79962
3/12/2023,North Carolina,37,3472644,29677
3/12/2023,North Dakota,38,287594,2517
3/12/2023,Northern Mariana Islands,69,13395,41
3/12/2023,Ohio,39,3400652,41974
3/12/2023,Oklahoma,40,1290929,16485
3/12/2023,Oregon,41,963565,9378
3/12/2023,Pennsylvania,42,3527854,50482
3/12/2023,Puerto Rico,72,1135508,5825
3/12/2023,Rhode Island,44,460697,3902
