name,fips,cases
Pennsylvania,42041.0,63221.0
Tennessee,47035.0,19636.0
Virginia,51049.0,1847.0
Nebraska,31039.0,2055.0
North Carolina,37053.0,6374.0
New Mexico,35009.0,15448.0
Oregon,41015.0,4696.0
Colorado,8027.0,841.0
Idaho,16037.0,708.0
Montana,30017.0,3521.0
Nebraska,31041.0,2403.0
Oklahoma,40039.0,9825.0
South Dakota,46033.0,2499.0
Ohio,39035.0,352387.0
Georgia,13083.0,3987.0
Missouri,29057.0,1822.0
Utah,49009.0,168.0
Minnesota,27037.0,137568.0
Nebraska,31043.0,8064.0
Alabama,1045.0,16557.0
Texas,48111.0,2067.0
Alabama,1047.0,11050.0
Arkansas,5039.0,2070.0
Iowa,19049.0,26965.0
Missouri,29059.0,4710.0
Texas,48113.0,692240.0
Wisconsin,55025.0,180316.0
Montana,30019.0,486.0
Virginia,51590.0,14797.0
North Carolina,37055.0,10088.0
Ohio,39037.0,15147.0
South Carolina,45031.0,22391.0
Pennsylvania,42043.0,72873.0
North Carolina,37057.0,56403.0
Tennessee,47037.0,236088.0
North Carolina,37059.0,15014.0
Indiana,18027.0,9081.0
Kentucky,21059.0,39014.0
Missouri,29061.0,2028.0
Iowa,19051.0,1829.0
Utah,49011.0,120332.0
South Dakota,46035.0,7142.0
Nebraska,31045.0,1515.0
Georgia,13085.0,8428.0
Montana,30021.0,2776.0
Nebraska,31047.0,6041.0
Texas,48115.0,3426.0
South Dakota,46037.0,1521.0
New Mexico,35011.0,762.0
Louisiana,22031.0,9831.0
Illinois,17039.0,5220.0
Alabama,1049.0,22552.0
Georgia,13089.0,193938.0
Illinois,17037.0,32731.0
Indiana,18033.0,13683.0
Missouri,29063.0,2553.0
Tennessee,47041.0,7795.0
Florida,12027.0,11318.0
Mississippi,28033.0,61672.0
Texas,48123.0,5161.0
Texas,48117.0,6233.0
Indiana,18029.0,16277.0
Georgia,13087.0,8653.0
Indiana,18031.0,8596.0
Iowa,19053.0,1852.0
Kansas,20039.0,792.0
Tennessee,47039.0,4582.0
Montana,30023.0,3283.0
Ohio,39039.0,12461.0
California,6015.0,8429.0
Indiana,18035.0,30273.0
Iowa,19055.0,4802.0
New York,36025.0,10263.0
Ohio,39041.0,56366.0
Oklahoma,40041.0,13717.0
Pennsylvania,42045.0,142304.0
Colorado,8029.0,7228.0
Michigan,26041.0,12561.0
Texas,48119.0,9915.0
Alaska,2068.0,1794.0
Missouri,29065.0,3979.0
Texas,48121.0,268792.0
Colorado,8031.0,225860.0
Iowa,19057.0,11335.0
Oregon,41017.0,61992.0
Arkansas,5041.0,3659.0
Nebraska,31049.0,363.0
South Dakota,46039.0,1200.0
Oklahoma,40043.0,1259.0
South Dakota,46041.0,3476.0
