date,state,fips,cases,deaths
3/11/2021,Wisconsin,55,623801,7162
3/11/2021,Wyoming,56,55112,691
3/12/2021,Alabama,1,502711,10299
3/12/2021,Alaska,2,59796,292
3/12/2021,Arizona,4,831832,16519
3/12/2021,Arkansas,5,326499,5437
3/12/2021,California,6,3617479,55336
3/12/2021,Colorado,8,443842,6113
3/12/2021,Connecticut,9,290577,7765
3/12/2021,Delaware,10,89911,1496
3/12/2021,District of Columbia,11,42282,1038
3/12/2021,Florida,12,1967857,32144
3/12/2021,Georgia,13,1006519,17615
3/12/2021,Guam,66,8736,134
3/12/2021,Hawaii,15,28156,446
3/12/2021,Idaho,16,175068,1912
3/12/2021,Illinois,17,1209847,23163
3/12/2021,Indiana,18,674293,12824
3/12/2021,Iowa,19,342343,5632
3/12/2021,Kansas,20,300698,4824
3/12/2021,Kentucky,21,418540,5080
3/12/2021,Louisiana,22,436482,9861
3/12/2021,Maine,23,46650,723
3/12/2021,Maryland,24,391662,8030
3/12/2021,Massachusetts,25,598859,16580
3/12/2021,Michigan,26,666844,16720
3/12/2021,Minnesota,27,495276,6805
3/12/2021,Mississippi,28,299887,6883
3/12/2021,Missouri,29,577371,8752
3/12/2021,Montana,30,101683,1393
3/12/2021,Nebraska,31,204722,2236
3/12/2021,Nevada,32,298706,5099
3/12/2021,New Hampshire,33,78074,1195
3/12/2021,New Jersey,34,830847,23854
3/12/2021,New Mexico,35,187984,3851
3/12/2021,New York,36,1728900,48277
3/12/2021,North Carolina,37,883075,11688
3/12/2021,North Dakota,38,100878,1486
3/12/2021,Northern Mariana Islands,69,146,2
3/12/2021,Ohio,39,986740,17871
3/12/2021,Oklahoma,40,431366,4701
3/12/2021,Oregon,41,159130,2328
3/12/2021,Pennsylvania,42,966620,24576
3/12/2021,Puerto Rico,72,136022,2073
3/12/2021,Rhode Island,44,130502,2567
3/12/2021,South Carolina,45,530880,8833
3/12/2021,South Dakota,46,114347,1907
3/12/2021,Tennessee,47,775589,11536
3/12/2021,Texas,48,2718585,46391
3/12/2021,Utah,49,377550,2017
3/12/2021,Vermont,50,16623,212
3/12/2021,Virgin Islands,78,2767,25
3/12/2021,Virginia,51,592214,9961
3/12/2021,Washington,53,351419,5183
3/12/2021,West Virginia,54,134842,2511
3/12/2021,Wisconsin,55,624508,7167
3/12/2021,Wyoming,56,55163,691
3/13/2021,Alabama,1,503305,10327
3/13/2021,Alaska,2,59796,292
3/13/2021,Arizona,4,832094,16546
3/13/2021,Arkansas,5,326813,5455
3/13/2021,California,6,3621217,56373
3/13/2021,Colorado,8,445139,6118
3/13/2021,Connecticut,9,290577,7765
3/13/2021,Delaware,10,90156,1504
3/13/2021,District of Columbia,11,42432,1040
3/13/2021,Florida,12,1973101,32224
3/13/2021,Georgia,13,1007740,17666
3/13/2021,Guam,66,8737,134
3/13/2021,Hawaii,15,28218,447
3/13/2021,Idaho,16,175305,1913
3/13/2021,Illinois,17,1211440,23188
3/13/2021,Indiana,18,675127,12846
3/13/2021,Iowa,19,342705,5634
3/13/2021,Kansas,20,300702,4824
3/13/2021,Kentucky,21,419195,5113
